QA_ITEM_DSCREP_ID,QA_INSP_ITEM_ID,VEH_SER_NO,LOC,FOUND_INSP_TEAM,RESP_INSP_OPRUNT,RESP_INSP_TEAM,INSP_ITEM,CHKLST_VER_NO,INSP_DSCREP,INSP_ID,INSP_DSCREP_DESC,INSP_DSCREP_VALUE,SHIFT_CD,RPAR_ID,RPAR_TS,APPR_ID,APPR_TS,REWRK_MNS,DSCREP_DCAPA_VALUE,DCAPA_OVRD_INDC,PROD_AUD_SCORE,RTG_CLIP_INDC,INSP_COMT_ID1,INSP_COMT_ID2,INSP_COMT_ID3,TS_LOAD,TS_LAST_UPDT,INSP_COMT,REWRK_NOTES
27147293,24612827,JB9494,017,107,NULL,NULL,5601,1,001,willdav   ,MISSING             ,0,1,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,2016-05-26 03:56:21.663,2016-05-26 03:56:21.663,cab,NULL
27147294,24612828,JB9494,017,107,NULL,NULL,4639,1,017,willdav   ,DENTS               ,0,1,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,2016-05-26 03:57:01.567,2016-05-26 03:57:01.567,windshield opening distorted at top spot welds,NULL
27147295,24612829,JB9494,017,107,NULL,NULL,4301,1,081,willdav   ,ROUGH EDGE          ,0,1,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,2016-05-26 03:57:48.127,2016-05-26 03:57:48.127,debur drillout  l/h a pillar,NULL
27147504,24613026,JB8447,017,711,NULL,NULL,5517,2,004,jupfohl   ,DAMAGED             ,0,1,NULL,NULL,jupfohl   ,2016-05-26 04:50:57.770,NULL,0,N,NULL,N,NULL,NULL,NULL,2016-05-26 04:36:58.743,2016-05-26 04:50:57.687,RHS REAR TAILLIGHT DAMAGED.,NULL
27147529,24613051,JA8531,017,711,NULL,NULL,5007,2,011,dwcapps   ,WRG ADJUSTMENT      ,0,1,NULL,NULL,NULL,NULL,NULL,0,N,NULL,N,NULL,NULL,NULL,2016-05-26 04:39:38.803,2016-05-26 04:39:38.803,lower rad. hose rubbing p clamp,NULL
27147737,24613243,HZ3834,017,711,NULL,NULL,5211,2,007,jupfohl   ,NOT OR WRG SECURED  ,0,1,NULL,NULL,jupfohl   ,2016-05-26 05:12:28.880,NULL,0,N,NULL,N,NULL,NULL,NULL,2016-05-26 05:11:52.317,2016-05-26 05:12:28.797,HOOD SHOCK MOUNTS ON UPSIDE DOWN,NULL
27147772,24613276,HZ1761,017,711,NULL,NULL,5305,2,025,waltch1   ,LEAKS               ,0,1,NULL,NULL,NULL,NULL,NULL,0,N,NULL,N,NULL,NULL,NULL,2016-05-26 05:18:08.130,2016-05-26 05:18:08.130,DEF TANK LINE RHS FRAM RAIL NEXT TO TRANS LEAKING AT CLAMP,NULL
27147841,24613341,HZ1761,017,711,NULL,NULL,5211,2,004,waltch1   ,DAMAGED             ,0,1,NULL,NULL,NULL,NULL,NULL,0,N,NULL,N,NULL,NULL,NULL,2016-05-26 05:30:23.607,2016-05-26 05:30:23.607,VALANCE CRACKED FRONT LHS,NULL
27147850,24613346,HZ1761,017,711,NULL,NULL,5207,2,004,waltch1   ,DAMAGED             ,0,1,NULL,NULL,NULL,NULL,NULL,0,N,NULL,N,NULL,NULL,NULL,2016-05-26 05:32:47.417,2016-05-26 05:32:47.417,FRONT LHS RUBBER FENDER EXTENSION PULLED LOOSE FROM VALANCE,NULL
27147994,24613480,JB5205,017,711,NULL,NULL,5305,2,056,jupfohl   ,LUBE LEVEL WRONG    ,0,1,NULL,NULL,jupfohl   ,2016-05-26 05:54:59.553,NULL,0,N,NULL,N,NULL,NULL,NULL,2016-05-26 05:54:42.580,2016-05-26 05:54:59.470,COOLANT OVERFILLED.,NULL
27148312,24613779,JC0220,017,107,NULL,NULL,4619,1,016,willdav   ,FIT                 ,0,1,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,2016-05-26 06:37:10.707,2016-05-26 06:37:10.707,GAP TOP L/R A PILLSR TO ROOF SEAM,NULL
27148322,24613789,JC0220,017,107,NULL,NULL,8623,1,016,willdav   ,FIT                 ,0,1,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,2016-05-26 06:38:13.943,2016-05-26 06:38:13.943,R/H NOT CENTETED IN FRAME,NULL
27148346,24613810,HP2044,017,711,NULL,NULL,9999,0,999,waltch1   ,CLEAR DISCREP       ,0,1,NULL,NULL,waltch1   ,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,2016-05-26 06:40:57.347,2016-05-26 06:40:57.347,NULL,NULL
27148356,24613779,JC0220,017,107,NULL,NULL,4619,1,003,willdav   ,WRONG               ,0,1,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,2016-05-26 06:42:18.753,2016-05-26 06:42:18.753,REMOVE BOC BRACE  TO SHIP,NULL
27148372,24613833,JC0220,017,107,NULL,NULL,4737,1,002,willdav   ,INCOMPLETE          ,0,1,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,2016-05-26 06:43:31.107,2016-05-26 06:43:31.107,LOWER BOLTS  MISSING,NULL
27148380,24613840,JC0220,017,107,NULL,NULL,5601,1,001,willdav   ,MISSING             ,0,1,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,2016-05-26 06:44:16.290,2016-05-26 06:44:16.290,CAB,NULL
27148391,24613852,JB8514,017,711,NULL,NULL,9999,0,999,jupfohl   ,CLEAR DISCREP       ,0,1,NULL,NULL,jupfohl   ,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,2016-05-26 06:45:53.100,2016-05-26 06:45:53.100,NULL,NULL
27148394,24613854,JC0220,017,107,NULL,NULL,4361,1,076,willdav   ,DELAMINATION        ,0,1,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,2016-05-26 06:46:23.143,2016-05-26 06:46:23.143,GAP AT FRONT SEAM L/R GUTTER  OVER DOOR,NULL
27148455,24613911,JA7275,017,711,NULL,NULL,4413,2,007,dwcapps   ,NOT OR WRG SECURED  ,0,1,NULL,NULL,NULL,NULL,NULL,0,N,NULL,N,NULL,NULL,NULL,2016-05-26 06:54:33.420,2016-05-26 06:54:33.420,primary air tank loose,NULL
27148456,24613913,JC0493,017,107,NULL,NULL,4301,1,017,willdav   ,DENTS               ,0,1,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,2016-05-26 06:54:36.367,2016-05-26 06:54:36.367,L/H AT TOP,NULL
27148463,24613919,JC0493,017,107,NULL,NULL,4305,1,022,willdav   ,DIRT                ,0,1,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,2016-05-26 06:55:30.550,2016-05-26 06:55:30.550,UNDERCOAT OVETSPRAY,NULL
27148473,24613929,JC0493,017,107,NULL,NULL,4639,1,017,willdav   ,DENTS               ,0,1,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,2016-05-26 06:57:01.327,2016-05-26 06:57:01.327,DISTORTED FRAME AT TOP,NULL
27148491,24613945,JC0493,017,107,NULL,NULL,4737,1,002,willdav   ,INCOMPLETE          ,0,1,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,2016-05-26 06:59:44.267,2016-05-26 06:59:44.267,LOWER BOLTS MISSING,NULL
27148500,24608422,JC0493,017,107,NULL,NULL,8623,1,011,willdav   ,WRG ADJUSTMENT      ,0,1,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,2016-05-26 07:01:03.537,2016-05-26 07:01:03.537,R/H TOO LOW INFRAME,NULL
27148506,24613958,JC0493,017,107,NULL,NULL,5601,1,001,willdav   ,MISSING             ,0,1,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,2016-05-26 07:02:17.700,2016-05-26 07:02:17.700,CAB,NULL
27148532,24613983,JC0493,017,107,NULL,NULL,4361,1,017,willdav   ,DENTS               ,0,1,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,2016-05-26 07:05:01.533,2016-05-26 07:05:01.533,L/H GUTTER,NULL
27148538,24613989,JA7275,017,711,NULL,NULL,5217,2,007,dwcapps   ,NOT OR WRG SECURED  ,0,1,NULL,NULL,NULL,NULL,NULL,0,N,NULL,N,NULL,NULL,NULL,2016-05-26 07:05:42.570,2016-05-26 07:05:42.570,lhs splash shield missing bolt,NULL
27148544,24613995,JA7275,017,711,NULL,NULL,5519,2,007,dwcapps   ,NOT OR WRG SECURED  ,0,1,NULL,NULL,NULL,NULL,NULL,0,N,NULL,N,NULL,NULL,NULL,2016-05-26 07:06:05.357,2016-05-26 07:06:05.357,rhs headlight missing washers,NULL
27148589,24614034,JA5186,017,711,NULL,NULL,4909,2,012,jupfohl   ,INTERFERENCE        ,0,1,NULL,NULL,jupfohl   ,2016-05-26 07:11:57.147,NULL,0,N,NULL,N,NULL,NULL,NULL,2016-05-26 07:11:22.740,2016-05-26 07:11:57.067,POS WIRE HITTING STEERING SHAFT.,NULL
27148645,24614090,HZ0024,017,711,NULL,NULL,9999,0,999,waltch1   ,CLEAR DISCREP       ,0,1,NULL,NULL,waltch1   ,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,2016-05-26 07:19:59.927,2016-05-26 07:19:59.927,NULL,NULL
27148647,24614091,HH2800,017,711,NULL,NULL,5517,2,023,dwcapps   ,NOT FUNCTIONING     ,0,1,NULL,NULL,NULL,NULL,NULL,0,N,NULL,N,NULL,NULL,NULL,2016-05-26 07:20:02.437,2016-05-26 07:20:02.437,rhs tail light not working,NULL
27148651,24614095,HH2800,017,711,NULL,NULL,4909,2,009,dwcapps   ,IMPROPERLY ROUTED   ,0,1,NULL,NULL,NULL,NULL,NULL,0,N,NULL,N,NULL,NULL,NULL,2016-05-26 07:20:37.843,2016-05-26 07:20:37.843,block heater cable hitting fuel tank per check sheet,NULL
27148663,24614107,HH2800,017,711,NULL,NULL,4407,2,009,dwcapps   ,IMPROPERLY ROUTED   ,0,1,NULL,NULL,NULL,NULL,NULL,0,N,NULL,N,NULL,NULL,NULL,2016-05-26 07:21:48.617,2016-05-26 07:21:48.617,from air drier pulled tight against lower coolant hose rhs,NULL
27148685,24614126,JB8481,017,107,NULL,NULL,4361,1,017,willdav   ,DENTS               ,0,1,NULL,NULL,tgofort   ,2016-05-27 05:36:02.890,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,2016-05-26 07:24:18.783,2016-05-27 05:36:02.800,POOR FIT L/H GUTTER AT FRONT,NULL
27148695,24614136,JB8481,017,107,NULL,NULL,4619,1,016,willdav   ,FIT                 ,0,1,NULL,NULL,tgofort   ,2016-05-27 05:36:02.300,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,2016-05-26 07:25:24.943,2016-05-27 05:36:02.210,R/H BOCSEAM GAPPED AT ROOF,NULL
27148718,24614156,JB8481,017,107,NULL,NULL,4737,1,002,willdav   ,INCOMPLETE          ,0,1,NULL,NULL,tgofort   ,2016-05-27 05:36:01.700,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,2016-05-26 07:27:52.417,2016-05-27 05:36:01.617,BOLTS MISSING L/R,NULL
27148841,24614272,JB7997,017,711,NULL,NULL,5007,2,008,jupfohl   ,IMPROPERLY CLAMPED  ,0,1,NULL,NULL,NULL,NULL,NULL,0,N,NULL,N,NULL,NULL,NULL,2016-05-26 07:43:21.890,2016-05-26 07:43:21.890,COOLANT HOSE ON COOLANT DISTRIBUTUION BLOCK FREEZE CLAMP NOT ON ALL THE WAY,NULL
27148876,24614305,JB2656,017,711,NULL,NULL,4829,2,007,waltch1   ,NOT OR WRG SECURED  ,0,1,NULL,NULL,NULL,NULL,NULL,0,N,NULL,N,NULL,NULL,NULL,2016-05-26 07:47:59.437,2016-05-26 07:48:33.823,LHS FRAME RAIL BOLT TOO SHORT, MARKED WITH GREEN TAPE,NULL
27148911,24533385,HJ1274,017,711,NULL,NULL,5105,2,004,gblake6   ,DAMAGED             ,0,1,NULL,NULL,micmar2   ,2016-05-26 10:05:53.803,NULL,0,N,NULL,N,NULL,NULL,NULL,2016-05-26 07:51:56.960,2016-05-26 10:05:53.720,mega fuse nut stripped in batt box,NULL
27149236,24614647,HW1958,017,107,NULL,NULL,4737,1,002,willdav   ,INCOMPLETE          ,0,1,NULL,NULL,tgofort   ,2016-05-27 05:42:30.070,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,2016-05-26 08:40:31.353,2016-05-27 05:42:29.980,BOLTS MISSING,NULL
27149240,24614651,HW1958,017,107,NULL,NULL,4619,1,002,willdav   ,INCOMPLETE          ,0,1,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,2016-05-26 08:41:21.433,2016-05-26 08:41:21.433,REMOVE BOC BRACE BEFORE SHIPPING,NULL
27149245,24614656,HZ3835,017,711,NULL,NULL,9999,0,999,waltch1   ,CLEAR DISCREP       ,0,1,NULL,NULL,waltch1   ,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,2016-05-26 08:41:57.830,2016-05-26 08:41:57.830,NULL,NULL
27149254,24614665,HW1958,017,107,NULL,NULL,5601,1,001,willdav   ,MISSING             ,0,1,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,2016-05-26 08:43:46.447,2016-05-26 08:43:46.447,CAB,NULL
27149259,24614651,HW1958,017,107,NULL,NULL,4619,1,016,willdav   ,FIT                 ,0,1,NULL,NULL,tgofort   ,2016-05-27 05:42:30.660,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,2016-05-26 08:44:55.377,2016-05-27 05:42:30.580,TOP R/H A PILLAR GAPPED AT ROOF,NULL
27149317,24614724,JB6800,017,711,NULL,NULL,5305,2,056,jupfohl   ,LUBE LEVEL WRONG    ,0,1,NULL,NULL,jupfohl   ,2016-05-26 08:59:26.397,NULL,0,N,NULL,N,NULL,NULL,NULL,2016-05-26 08:59:05.900,2016-05-26 08:59:26.310,COOLANT OVERFILLED.,NULL
